"Season","Name","Team","G","PA","HR","R","RBI","SB","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","H","1B","2B","3B","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","wOBA","wRAA","wRC","playerid","mlbamid"
"1922","Lemuel Hawkins","KCM","78","305","1","43","29","14",".025","",".289",".348",".314",".319","83","3.2","-3.8","2.6","0.8","81","76","4","0","22","","","3","","12","","14","",".319","-6.9","33","1015389",""
"2000","Rickey Henderson","- - -","123","519","4","75","32","36",".071",".272",".233",".368",".305",".319","87","2.2","-7.2","-5.9","0.5","98","78","14","2","88","1","75","4","4","3","11","36","11",".319","-9.8","58","194","115749"
"2019","Brandon Belt","SFG","156","616","17","76","57","4",".169",".275",".234",".339",".403",".319","98","-1.6","-3.1","-10.1","0.6","123","71","32","3","83","3","127","3","4","0","6","4","3",".319","-0.4","77","10264","474832"
"2018","Yonder Alonso","CLE","145","574","23","64","83","0",".171",".283",".250",".317",".421",".319","98","-0.9","-2.4","-14.1","0.3","129","87","19","0","51","1","123","2","5","0","10","0","0",".319","2.1","69","2530","475174"
"1985","Andre Dawson","MON","139","570","23","65","91","13",".189",".266",".255",".295",".444",".319","103","0.9","2.8","-0.9","2.1","135","83","27","2","29","8","92","4","7","1","12","13","4",".319","0.7","65","1003091","113151"
"2018","Jose Peraza","CIN","157","683","14","85","58","23",".128",".307",".288",".326",".416",".319","96","3.8","0.7","9.7","3.2","182","133","31","4","29","4","75","9","5","8","12","23","6",".319","2.5","82","13593","606299"
"1969","Joe Pepitone","NYY","135","546","27","49","70","8",".201",".217",".242",".284",".442",".319","100","-0.5","-0.3","-3.9","1.2","124","78","16","3","30","11","42","1","2","0","13","8","6",".319","2.3","61","1010167","120391"
"1886","Ernie Burch","BRO","113","496","2","78","72","16",".088","",".261",".321",".349",".319","106","-1.1","3.3","-13.0","0.7","119","89","22","6","39","","","1","","","","16","",".319","6.4","79","1001657","111696"
"1988","Robby Thompson","SFG","138","540","7","66","48","14",".119",".327",".264",".323",".384",".319","109","0.5","5.7","0.7","2.5","126","89","24","6","40","0","111","4","5","14","7","14","5",".319","2.9","62","1013023","123300"
"1966","Don Wert","DET","150","642","11","56","70","6",".102",".287",".268",".342",".370",".319","106","0.4","4.7","-9.4","1.5","150","117","20","2","64","3","69","2","6","11","20","6","3",".319","7.6","76","1013790","124098"
"1952","Jim Rivera","- - -","150","595","7","72","48","21",".110",".291",".253",".319",".363",".319","86","1.3","-8.7","4.8","1.5","136","100","20","9","50","","86","2","","6","4","21","9",".319","-3.4","62","1011002","121249"
"1938","Don Heffner","SLB","141","554","2","47","69","1",".074",".273",".245",".341",".319",".319","69","-0.8","-27.3","-11.6","-1.7","116","88","23","3","65","","53","4","","12","","1","1",".319","-10.2","61","1005579","115693"
"2002","Jason Varitek","BOS","132","519","10","58","61","4",".126",".312",".266",".332",".392",".319","91","-1.6","-7.3","13.0","2.3","124","86","27","1","41","3","95","7","3","1","13","4","3",".319","-2.9","59","217","123660"
"1946","Buddy Kerr","NYG","145","571","6","50","40","7",".089",".257",".249",".324",".338",".319","87","0.9","-7.8","12.8","2.3","124","95","20","3","53","","31","2","","19","10","7","",".319","-4.2","58","1006870","117019"
"2000","Troy O'Leary","BOS","138","563","13","68","70","0",".150",".283",".261",".320",".411",".319","82","-0.9","-14.6","7.9","1.4","134","87","30","4","44","2","76","2","4","0","12","0","2",".319","-10.6","63","789","119975"
"1986","Dick Schofield","CAL","139","529","13","67","57","23",".148",".253",".249",".321",".397",".319","96","2.6","-0.1","18.3","3.7","114","78","17","6","48","2","55","5","9","9","8","23","5",".319","-0.6","60","1011602","121854"
"1984","Jody Davis","CHC","150","579","19","55","94","5",".164",".279",".256",".315",".421",".319","93","-1.4","-5.9","11.5","2.6","134","88","25","2","47","15","99","1","7","1","20","5","6",".319","0.7","65","1003060","113118"
"1988","Roberto Alomar","SDP","143","611","9","84","41","24",".116",".300",".266",".328",".382",".319","107","2.0","6.6","11.3","3.9","145","106","24","6","47","5","83","3","0","16","15","24","6",".319","3.3","70","860","110183"
"1914","Mike Mitchell","- - -","131","523","3","51","43","14",".088",".271",".255",".314",".343",".319","97","-1.3","-2.9","4.6","1.9","119","92","16","8","38","","35","2","","17","","14","7",".319","-0.7","54","1009007","119198"
"1873","Denny Mack","PWS","48","220","0","55","20","6",".024",".306",".293",".341",".317",".319","102","0.3","1.4","-1.1","0.6","60","55","5","0","15","","9","","","","","6","2",".319","3.4","49","1007915","118083"
"1995","Otis Nixon","TEX","139","656","0","87","45","50",".042",".343",".295",".357",".338",".319","83","0.6","-13.6","-1.9","0.7","174","151","21","2","58","1","85","0","3","6","6","50","21",".319","-7.7","74","1009608","119812"
"1926","Namon Washington","HIL","84","311","1","38","41","16",".055",".264",".253",".344",".308",".319","83","-0.1","-7.0","-1.2","0.3","69","57","10","1","35","","14","3","","14","","16","6",".319","-6.7","33","1016682",""
"1994","Felix Fermin","SEA","101","411","1","52","35","4",".063",".330",".317",".338",".380",".319","86","-1.0","-8.5","-6.8","-0.2","120","98","21","0","11","0","22","4","5","12","9","4","4",".319","-5.0","47","1003991","114070"
"2000","Ron Coomer","MIN","140","589","16","64","82","2",".145",".271",".270",".317",".415",".319","81","0.5","-14.8","-8.0","-0.1","147","101","29","1","36","2","50","4","5","0","25","2","0",".319","-11.1","66","816","112641"
"1878","Deacon White","CIN","61","268","0","41","29","",".023",".320",".314",".340",".337",".319","124","0.0","8.9","2.5","1.9","81","76","4","1","10","","5","","","","","","",".319","8.0","44","1013860","124175"
"1923","Roger Peckinpaugh","WAS","154","673","2","73","62","10",".056",".276",".264",".340",".320",".319","82","-0.9","-17.5","17.5","2.3","150","126","18","4","64","","30","1","","40","","10","8",".319","-14.5","73","1010116","120344"
"1919","Walter Holke","BSN","137","570","0","48","48","19",".050",".306",".292",".325",".342",".319","103","0.8","2.7","-4.2","1.6","151","131","14","6","21","","25","5","","26","","19","",".319","-1.2","58","1005946","116068"
"1969","Mark Belanger","BAL","150","594","2","76","50","14",".058",".313",".287",".351",".345",".319","98","0.8","-0.7","20.9","3.9","152","129","17","4","53","5","54","2","5","4","13","14","6",".319","2.5","66","1000786","110806"
"2011","Jayson Werth","WSN","150","649","20","69","58","19",".157",".286",".232",".330",".389",".319","100","4.2","3.9","-2.7","2.2","130","83","26","1","74","5","160","10","4","0","10","19","3",".319","1.5","74","1327","150029"
"2014","Ian Kinsler","DET","161","726","17","100","92","15",".145",".288",".275",".307",".420",".319","103","5.7","8.2","10.1","4.5","188","127","40","4","29","1","79","5","5","3","20","15","4",".319","5.0","83","6195","435079"
"1892","Jimmy McAleer","CLE","149","638","4","92","70","40",".091",".257",".238",".318",".329",".319","94","2.4","-2.8","6.6","2.7","136","99","26","7","63","","54","4","","","","40","",".319","1.0","86","1008322","118502"
"1966","Jim Fregosi","CAL","162","696","13","78","67","17",".139",".274",".252",".325",".391",".319","111","0.7","8.8","18.7","5.0","154","102","32","7","67","1","89","2","6","10","12","17","8",".319","8.2","82","1004330","114414"
"1950","Granny Hamner","PHI","157","685","11","78","82","2",".110",".272",".270",".314",".380",".319","82","0.2","-15.6","16.7","2.3","172","129","27","5","39","","35","2","","7","14","2","",".319","-15.2","70","1005286","115395"
"1958","Don Zimmer","LAD","127","495","17","52","60","14",".154",".293",".262",".305",".415",".319","85","2.3","-6.7","-0.2","0.9","119","85","15","2","28","1","92","1","2","9","17","14","2",".319","-0.4","55","1014442","124768"
"1925","Bob Miller","MRS","74","293","2","30","35","3",".088","",".272",".324",".360",".319","84","0.7","-5.6","2.3","0.6","74","57","12","3","21","","","","","10","","3","",".319","-7.6","32","1015932",""
"1985","Willie Wilson","KCR","141","642","4","87","43","43",".131",".323",".278",".316",".408",".319","95","4.0","0.4","-2.0","2.0","168","118","25","21","29","3","94","5","1","2","6","43","11",".319","0.7","74","1014113","124435"
"1892","Jake Beckley","PIT","151","659","10","102","96","30",".145",".241",".236",".288",".381",".319","99","1.3","0.0","12.0","3.5","145","95","21","19","31","","44","14","","","","30","",".319","1.1","89","1000754","110776"
"1984","Mookie Wilson","NYM","154","619","10","88","54","46",".133",".311",".276",".308",".409",".319","103","5.6","7.4","0.0","2.9","162","114","28","10","26","2","90","2","2","2","5","46","9",".319","0.7","70","1014096","124434"
"1914","Frank Schulte","CHC","137","527","5","54","61","16",".110",".264",".241",".306",".351",".319","95","1.8","-1.2","-8.7","0.5","112","78","22","7","39","","55","5","","18","","16","",".319","-0.8","54","1011631","121879"
"2008","Jose Guillen","KCR","153","633","20","66","97","2",".174",".291",".264",".300",".438",".319","90","-6.4","-14.5","-15.8","-0.8","158","95","42","1","23","3","106","9","3","0","23","2","1",".319","-4.9","71","57","115229"
"1887","Cub Stricker","CLE","131","590","2","122","53","86",".062","",".264",".334",".326",".319","90","7.3","-3.3","-18.4","0.0","141","116","19","4","53","","","3","","","","86","",".319","-6.5","91","1012613","122871"
"2010","Orlando Hudson","MIN","126","559","6","80","37","10",".105",".312",".268",".338",".372",".319","96","2.2","-0.7","10.3","3.0","133","98","24","5","50","0","87","4","3","5","14","10","3",".319","-0.9","63","1307","407861"
"2005","Edgar Renteria","BOS","153","692","8","100","70","9",".109",".315",".276",".335",".385",".319","90","5.3","-3.4","-1.9","1.8","172","124","36","4","55","0","100","3","5","6","15","9","4",".319","-4.0","79","1178","121074"
"2013","Todd Frazier","CIN","150","600","19","63","73","6",".173",".269",".234",".314",".407",".319","99","-0.3","-1.1","10.4","2.9","124","73","29","3","50","1","125","14","3","2","14","6","5",".319","2.4","68","785","453943"
"1893","John Grim","LOU","99","436","3","68","54","15",".106",".269",".267",".303",".373",".319","80","0.0","-14.8","6.9","0.9","111","81","19","8","12","","10","9","","","","15","",".319","-14.5","56","1005067","115159"
"2009","Ryan Theriot","CHC","154","677","7","81","54","21",".085",".323",".284",".343",".369",".319","87","1.3","-9.6","10.3","2.2","171","139","20","5","51","1","93","6","5","13","13","21","10",".319","-5.5","76","3811","444135"
"1902","Cozy Dolan","BRO","141","640","1","72","54","24",".056","",".280",".324",".336",".319","101","0.5","1.5","-5.5","1.9","166","142","16","7","33","","","5","","10","","24","",".319","-1.3","74","1003360","113427"
"1981","Willie Wilson","KCR","102","465","1","54","32","34",".062",".332",".303",".335",".364",".319","100","3.9","4.1","16.2","3.6","133","115","10","7","18","3","42","4","1","3","5","34","8",".319","1.6","51","1014113","124435"
"1927","Gus Felix","BRO","130","498","0","43","57","6",".083",".296",".265",".327",".348",".319","84","0.4","-10.3","-7.2","0.0","118","89","21","8","39","","47","2","","12","","6","",".319","-10.0","53","1003972","114051"
"1981","Mickey Rivers","TEX","99","428","3","62","26","9",".085",".303",".286",".327",".371",".319","104","0.0","1.8","-5.0","1.1","114","88","21","2","24","2","31","1","1","3","3","9","5",".319","1.5","47","1011005","121253"
"1963","Roy Sievers","PHI","138","509","19","46","82","0",".178",".242",".240",".308",".418",".319","109","-0.6","4.4","-13.9","0.9","108","68","19","2","43","5","72","5","9","2","6","0","2",".319","5.8","59","1011959","122221"
"1909","Freddy Parent","CHW","136","551","0","61","30","32",".042","",".261",".335",".303",".319","109","2.1","7.0","19.9","4.8","123","108","10","5","46","","","7","","26","","32","",".319","4.4","58","1009992","120217"
"1949","Roy Smalley","CHC","135","519","8","57","35","2",".136",".278",".245",".304",".382",".319","81","0.3","-12.0","2.1","0.7","117","78","21","10","36","","77","4","","2","12","2","",".319","-10.1","52","1012077","122338"
"2011","Elvis Andrus","TEX","150","665","5","96","60","37",".082",".312",".279",".347",".361",".319","93","7.8","2.1","13.9","4.0","164","129","27","3","56","0","74","5","1","16","17","37","12",".319","1.5","76","8709","462101"
"2023","Spencer Torkelson","DET","118","505","21","61","66","2",".201",".266",".230",".309",".431",".319","104","-0.1","2.1","-11.7","0.8","103","56","25","1","48","1","123","5","4","0","11","2","0",".319","0.2","61","27465","679529"
"1918","Chick Gandil","CHW","114","480","0","49","55","9",".059",".283",".271",".319",".330",".319","95","-0.8","-3.3","-4.5","0.8","119","97","18","4","27","","19","4","","10","","9","",".319","0.6","47","1004476","114561"
"2002","Steve Cox","TBD","148","633","16","65","72","5",".143",".290",".254",".330",".396",".319","94","-1.2","-6.2","-15.6","0.0","142","95","30","1","60","5","116","7","6","0","15","5","0",".319","-3.7","72","1200","150132"
"1970","Aurelio Rodriguez","- - -","159","663","19","70","83","15",".170",".261",".249",".302",".420",".319","99","0.8","-0.3","34.1","5.5","152","93","33","7","40","5","87","8","5","0","19","15","6",".319","-0.1","75","1011100","121348"
"1971","Mark Belanger","BAL","150","590","0","67","35","10",".054",".292",".266",".365",".320",".319","99","-0.8","-1.3","21.8","4.1","133","110","19","4","73","6","48","7","4","6","9","10","8",".319","3.7","64","1000786","110806"
"2018","Joe Mauer","MIN","127","543","6","64","48","0",".097",".330",".282",".351",".379",".319","100","-0.2","-0.4","-7.9","1.0","137","103","27","1","51","5","86","2","3","1","9","0","1",".319","1.8","65","1857","408045"
"1963","Maury Wills","LAD","134","580","0","83","34","40",".047",".330",".302",".355",".349",".319","114","1.2","10.0","-0.2","3.3","159","137","19","3","44","0","48","1","3","5","3","40","19",".319","6.6","67","1014053","124371"
"1956","Tito Francona","BAL","139","500","9","62","57","11",".115",".280",".258",".334",".373",".319","93","0.5","-4.2","-3.5","0.9","115","86","16","4","51","4","60","1","3","0","6","11","5",".319","-2.7","55","1004293","114377"
"2009","Brandon Inge","DET","161","637","27","71","84","2",".176",".277",".230",".314",".406",".319","88","-1.1","-10.8","8.7","2.0","129","85","16","1","54","1","170","17","3","1","12","2","5",".319","-5.2","71","470","276346"
"1985","Ron Cey","CHC","145","564","22","64","63","1",".176",".251",".232",".316",".408",".319","94","-0.4","-4.1","-9.2","0.6","116","74","18","2","58","9","106","4","2","0","10","1","1",".319","0.6","65","1002108","112162"
"1916","Lee Magee","NYY","131","581","3","57","45","29",".069",".269",".257",".324",".325",".319","95","-4.4","-7.2","0.3","1.1","131","106","18","4","50","","31","1","","20","","29","25",".319","2.4","58","1007964","118134"
"1962","Bob Aspromonte","HOU","149","596","11","59","59","4",".110",".278",".266",".332",".376",".319","96","-1.2","-4.3","-5.2","1.1","142","109","18","4","46","4","54","8","3","5","10","4","5",".319","-1.3","68","1000341","110356"
"1929","Sanford Jackson","- - -","63","232","1","36","23","2",".066","",".274",".336",".340",".319","71","0.0","-9.9","-2.1","-0.3","58","50","3","4","20","","","0","","11","","2","",".319","-6.9","25","1015539",""
"1884","Ned Hanlon","DET","114","490","5","86","39","",".100",".290",".264",".324",".364",".319","113","0.0","10.3","-3.6","2.2","119","90","18","6","40","","52","","","","","","",".319","15.1","87","1005314","115424"
"1929","Dink Mothell","KCM","70","296","4","53","40","16",".106","",".243",".328",".350",".319","79","2.8","-5.7","-3.0","0.1","64","46","12","2","32","","","1","","19","","16","",".319","-8.8","32","1016003",""
